"id","age","job","civil","edu","credit","hloan","ploan","ctype","month","day","ccontact","lcdays","pcontact","presult","employment","cprice","cconf","euri3","employees","outcome"
127087,32,"technician","married","university","no","yes","no","cellular","jul","thu",7,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,0
104222,27,"services","single","9K","no","no","no","telephone","may","mon",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
126970,57,"services","divorced","unknown","no","no","no","cellular","may","fri",4,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,0
123366,42,"entrepreneur","married","university","no","no","no","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,0
100832,49,"technician","married","apprenticeship","no","no","yes","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,0
135051,47,"artisan","married","12K","no","yes","yes","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,0
130133,42,"admin.","married","12K","no","yes","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
132562,60,"housemaid","divorced","apprenticeship","no","yes","no","cellular","aug","tue",3,999,1,"failure",-2.9,92.201,-31.4,0.838,5076.2,0
111601,31,"admin.","divorced","university","no","yes","no","cellular","aug","mon",2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
119834,56,"artisan","married","4K","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
132218,28,"student","single","12K","unknown","yes","no","telephone","jun","mon",2,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,0
102185,26,"selfemployed","single","university","no","yes","no","cellular","sep","thu",1,6,4,"success",-1.1,94.199,-37.5,0.878,4963.6,0
118433,47,"technician","divorced","university","no","no","no","cellular","may","fri",3,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,0
109276,37,"artisan","married","9K","no","yes","no","telephone","may","thu",4,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
118109,31,"admin.","divorced","university","no","yes","no","cellular","aug","wed",6,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
121663,53,"services","married","12K","unknown","no","no","telephone","jun","fri",1,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,0
101260,31,"artisan","married","9K","no","yes","no","telephone","jun","wed",4,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,1
119864,34,"artisan","married","6K","no","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
101036,29,"technician","married","apprenticeship","no","no","no","telephone","jun","fri",1,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,0
126856,31,"admin.","single","university","no","yes","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
117802,37,"admin.","married","apprenticeship","no","yes","no","cellular","apr","thu",2,999,1,"failure",-1.8,93.075,-47.1,1.41,5099.1,0
124902,28,"technician","single","apprenticeship","no","yes","no","telephone","mar","tue",2,999,0,"nonexistent",-1.8,92.843,-50,1.556,5099.1,0
130789,30,"management","married","university","no","yes","no","cellular","jul","wed",2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
133147,27,"technician","married","university","no","yes","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
119100,37,"admin.","married","university","no","no","no","cellular","aug","wed",3,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,0
129838,36,"selfemployed","divorced","university","no","yes","no","cellular","nov","wed",1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,0
111331,34,"management","divorced","university","no","no","yes","cellular","jul","tue",5,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
113654,57,"management","married","university","no","yes","yes","cellular","nov","fri",1,999,1,"failure",-0.1,93.2,-42,4.021,5195.8,0
136471,28,"unknown","single","9K","unknown","yes","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
106887,46,"technician","married","apprenticeship","no","yes","no","cellular","apr","thu",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,1
139097,49,"management","divorced","university","no","no","yes","cellular","nov","wed",5,999,1,"failure",-0.1,93.2,-42,4.12,5195.8,0
127334,46,"artisan","married","university","no","yes","yes","telephone","jun","tue",5,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
107052,44,"entrepreneur","married","apprenticeship","no","no","yes","telephone","jun","wed",14,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,0
132847,58,"retired","married","apprenticeship","no","no","no","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,0
125137,44,"management","married","university","no","yes","no","cellular","may","fri",1,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,0
104669,56,"artisan","married","9K","no","yes","no","cellular","aug","thu",2,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,0
105584,30,"technician","single","apprenticeship","no","no","no","cellular","may","mon",4,999,1,"failure",-1.8,92.893,-46.2,1.354,5099.1,0
138162,31,"management","married","university","no","no","no","cellular","aug","mon",3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
106639,27,"artisan","single","9K","no","no","no","cellular","jul","thu",3,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,1
139188,32,"admin.","divorced","12K","no","no","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
104520,28,"technician","single","12K","no","yes","no","cellular","jul","tue",2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
133202,40,"technician","married","apprenticeship","no","no","no","cellular","aug","mon",9,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
113013,36,"artisan","single","9K","unknown","no","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
127993,41,"technician","married","apprenticeship","no","yes","no","cellular","aug","mon",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
105041,38,"services","married","12K","unknown","no","no","telephone","may","fri",6,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,0
107196,41,"artisan","single","4K","unknown","unknown","unknown","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
120742,39,"artisan","married","4K","unknown","no","no","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,0
135996,51,"management","married","university","no","yes","no","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
128836,44,"artisan","single","4K","no","no","no","telephone","jun","mon",1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
132220,30,"management","single","university","no","no","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,0
107603,36,"artisan","married","9K","no","yes","no","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,0
101838,39,"management","married","12K","no","yes","yes","telephone","may","tue",10,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
